Customer_ID,Age,Gender,Annual_Income,Policy_Type,Policy_Tenure,Premium_Amount,Vehicle_Type,Vehicle_Age,Previous_Claims,Accident_History,Annual_Mileage,Traffic_Violations,Occupation,Claim,Claim_Probability,Risk_Score,Risk_Level
100106,18,Male,25955205,Standard,10,5724044,Sedan,0,0,No,17282,0,Business Owner,0,49.0,49.0,MEDIUM
100107,42,Female,182661143,Premium,1,5305457,Hatchback,3,1,No,37846,2,Business Owner,0,7.0,7.0,LOW
100108,24,Male,136174995,Basic,1,7068174,Hatchback,13,2,No,20361,1,Teacher,1,92.67,92.67,HIGH
100109,26,Female,126629945,Standard,9,7483999,SUV,3,0,No,32586,1,Teacher,0,6.33,6.33,LOW
100110,41,Male,74172324,Standard,2,4083873,Sedan,9,1,No,43561,2,Student,1,84.67,84.67,HIGH
100111,18,Male,134985952,Standard,7,2329020,Sedan,7,1,Yes,4637,0,Office Worker,1,78.33,78.33,HIGH
100112,61,Male,152693191,Standard,10,9267102,SUV,7,0,Yes,16916,0,Business Owner,1,82.67,82.67,HIGH
100113,25,Male,158784320,Standard,4,1400717,Motorcycle,9,2,Yes,33926,2,Office Worker,1,82.33,82.33,HIGH
100114,41,Female,138774244,Standard,7,4147573,Motorcycle,5,2,No,45941,2,Driver,1,82.0,82.0,HIGH
100115,28,Female,66130558,Basic,8,10556526,Sedan,7,3,No,22684,1,Office Worker,1,88.33,88.33,HIGH
100116,68,Male,85148245,Standard,5,8117069,Motorcycle,8,0,Yes,39772,0,Engineer,1,83.33,83.33,HIGH
100117,34,Female,169639045,Standard,1,7741935,Motorcycle,4,3,Yes,19966,1,Student,1,85.0,85.0,HIGH
100118,25,Male,197833660,Basic,4,10150262,Motorcycle,0,1,No,28035,2,Student,1,74.33,74.33,HIGH
100119,52,Male,42977748,Standard,10,7006172,Sedan,0,1,No,13168,0,Office Worker,0,6.0,6.0,LOW
100120,52,Male,82827935,Premium,3,1996270,Motorcycle,1,3,Yes,11475,1,Student,1,84.67,84.67,HIGH
100121,50,Male,75796110,Standard,10,9058430,Hatchback,1,0,Yes,30473,0,Office Worker,0,3.33,3.33,LOW
100122,22,Female,46646139,Standard,5,11734610,Sedan,4,1,Yes,38166,2,Office Worker,0,61.33,61.33,MEDIUM
100123,59,Male,192414903,Premium,10,4393416,SUV,6,1,No,37006,3,Driver,1,77.33,77.33,HIGH
100124,56,Male,220938093,Standard,10,3655844,Motorcycle,6,2,Yes,6466,0,Office Worker,1,90.0,90.0,HIGH
100125,58,Female,204733169,Standard,6,2595428,Pickup,14,2,No,24902,0,Student,1,85.67,85.67,HIGH
100126,45,Male,170051311,Standard,2,13156522,Sedan,3,3,No,8363,0,Engineer,1,61.33,61.33,MEDIUM
100127,24,Male,70214597,Premium,7,1974939,SUV,12,1,No,38934,0,Business Owner,1,90.33,90.33,HIGH
100128,26,Male,123437175,Standard,3,12493560,Hatchback,3,0,Yes,36547,2,Student,1,57.0,57.0,MEDIUM
100129,25,Female,83261869,Standard,1,6338139,SUV,13,1,No,5134,4,Engineer,1,88.33,88.33,HIGH
100130,29,Male,81342202,Standard,10,14755939,Motorcycle,13,3,No,44379,0,Student,1,85.33,85.33,HIGH
100131,51,Female,85993015,Premium,3,5634995,Pickup,10,2,No,29402,0,Engineer,1,90.33,90.33,HIGH
100132,50,Male,79935271,Standard,9,8357247,Motorcycle,14,0,Yes,30714,0,Student,1,93.33,93.33,HIGH
100133,65,Male,234288958,Basic,10,4928408,SUV,9,2,No,23073,0,Business Owner,1,84.33,84.33,HIGH
100134,40,Female,136501212,Premium,6,7362530,Sedan,2,3,No,17583,4,Driver,1,83.33,83.33,HIGH
100135,41,Male,204408972,Standard,6,10327811,Pickup,10,1,Yes,40723,0,Driver,1,86.67,86.67,HIGH
100136,54,Male,80472357,Basic,4,12118669,Pickup,1,1,No,44166,1,Business Owner,1,68.33,68.33,MEDIUM
100137,52,Female,161697745,Standard,8,8221414,SUV,15,2,No,26756,1,Student,1,62.33,62.33,MEDIUM
100138,61,Female,164033857,Standard,5,2752153,Motorcycle,2,3,No,22774,2,Engineer,1,74.0,74.0,HIGH
100139,57,Female,25917472,Premium,7,7398215,SUV,7,2,Yes,26634,0,Office Worker,1,88.33,88.33,HIGH
100140,39,Female,85998837,Basic,9,12662807,Pickup,14,2,Yes,34143,1,Student,1,71.67,71.67,HIGH
100141,44,Female,108055484,Premium,5,2856719,SUV,0,1,No,10249,0,Business Owner,0,8.33,8.33,LOW
100142,52,Male,45426495,Standard,5,2456851,Pickup,15,0,No,47830,2,Teacher,1,87.67,87.67,HIGH
100143,18,Female,152833637,Basic,4,6815566,Motorcycle,3,0,No,34268,0,Driver,0,39.67,39.67,MEDIUM
100144,52,Male,164233967,Premium,6,11224902,Sedan,6,1,No,6796,1,Driver,1,70.33,70.33,HIGH
100145,54,Male,85782618,Standard,2,6408249,Sedan,15,2,No,21918,0,Student,1,90.0,90.0,HIGH
100146,64,Male,145661643,Basic,3,12118352,SUV,4,1,No,21564,0,Engineer,0,54.33,54.33,MEDIUM
100147,31,Female,85727594,Standard,1,10542143,Pickup,1,0,Yes,33712,0,Business Owner,1,42.33,42.33,MEDIUM
100148,20,Female,245537946,Premium,2,8579349,Sedan,0,3,No,31786,1,Business Owner,0,9.0,9.0,LOW
100149,18,Male,236565116,Basic,2,4827573,Pickup,5,3,No,18312,2,Engineer,1,91.0,91.0,HIGH
100150,22,Female,220520969,Basic,8,6564991,Motorcycle,12,3,No,28973,0,Engineer,1,87.0,87.0,HIGH
100151,43,Female,49561090,Basic,8,2932811,SUV,12,1,Yes,16207,2,Student,1,90.0,90.0,HIGH
100152,31,Female,146658202,Basic,2,6372625,Pickup,15,1,Yes,4446,1,Student,1,89.0,89.0,HIGH
100153,56,Female,62204318,Standard,6,5248887,SUV,4,0,Yes,3951,0,Teacher,1,72.33,72.33,HIGH
100154,44,Male,198305486,Standard,5,2696941,Pickup,2,1,No,4717,1,Driver,1,53.33,53.33,MEDIUM
100155,26,Male,180441404,Basic,3,1444846,Pickup,10,0,No,41681,1,Driver,1,62.0,62.0,MEDIUM
100156,32,Female,49070924,Basic,5,2159935,Motorcycle,10,1,Yes,14390,1,Engineer,1,88.33,88.33,HIGH
100157,32,Male,46821296,Basic,5,13085710,SUV,14,3,Yes,24194,0,Office Worker,1,91.33,91.33,HIGH
100158,43,Female,126616418,Premium,5,5866148,Hatchback,15,2,Yes,18477,1,Office Worker,1,93.0,93.0,HIGH
100159,59,Female,121318451,Basic,3,5822724,Pickup,10,2,No,20980,1,Office Worker,1,81.67,81.67,HIGH
100160,30,Male,96772618,Premium,3,13049665,Pickup,8,0,Yes,33950,0,Business Owner,0,7.0,7.0,LOW
100161,68,Male,230844154,Standard,4,4204991,Sedan,2,0,No,9594,1,Student,0,8.33,8.33,LOW
100162,49,Male,182535124,Basic,7,11343771,SUV,15,1,No,47693,1,Engineer,0,8.0,8.0,LOW
100163,56,Female,169904690,Premium,2,10497848,Hatchback,1,0,No,22600,3,Driver,1,75.67,75.67,HIGH
100164,66,Male,158194677,Standard,10,11903656,Motorcycle,4,1,No,12098,1,Office Worker,0,53.0,53.0,MEDIUM
100165,69,Female,40808458,Standard,4,11371765,Hatchback,8,1,No,14942,0,Driver,0,5.33,5.33,LOW
100166,49,Male,83834845,Premium,4,6101210,Motorcycle,7,1,No,17012,1,Student,0,8.33,8.33,LOW
100167,21,Male,26193982,Basic,1,11392862,Hatchback,5,1,No,33702,0,Teacher,1,77.67,77.67,HIGH
100168,47,Female,101116475,Basic,10,4484840,Hatchback,2,2,No,48018,0,Teacher,1,79.33,79.33,HIGH
100169,54,Female,151022959,Standard,8,13455331,SUV,5,3,No,13346,0,Engineer,1,65.33,65.33,MEDIUM
100170,40,Female,216204130,Basic,1,7688064,Sedan,4,1,No,17428,0,Office Worker,1,41.33,41.33,MEDIUM
100171,56,Female,92615317,Basic,8,7746929,Hatchback,0,0,No,8755,0,Office Worker,1,70.33,70.33,HIGH
100172,62,Female,86767845,Basic,7,3921984,Pickup,4,3,No,48884,0,Teacher,1,77.0,77.0,HIGH
100173,32,Female,98657758,Basic,9,11915527,Pickup,13,1,No,9283,0,Engineer,1,67.0,67.0,MEDIUM
100174,60,Female,86647309,Standard,8,11251704,Pickup,6,0,No,4337,2,Driver,0,7.0,7.0,LOW
100175,46,Female,203684823,Basic,5,6137273,Sedan,8,0,Yes,46455,1,Student,1,88.0,88.0,HIGH
100176,53,Male,105137648,Standard,8,8427925,Hatchback,11,1,No,23857,1,Teacher,1,60.0,60.0,MEDIUM
100177,30,Female,77839391,Standard,10,1008981,Motorcycle,14,2,No,27936,1,Teacher,1,84.67,84.67,HIGH
100178,49,Female,192237535,Standard,3,4559976,Motorcycle,0,0,No,42594,0,Student,1,65.33,65.33,MEDIUM
100179,24,Male,57833206,Basic,10,7607691,SUV,2,3,No,30640,0,Student,1,81.0,81.0,HIGH
100180,68,Female,130740494,Standard,7,1107154,Sedan,7,1,Yes,41435,1,Teacher,1,86.67,86.67,HIGH
100181,39,Male,74975039,Basic,4,8626584,Hatchback,5,3,No,48697,0,Driver,1,89.33,89.33,HIGH
100182,45,Male,47961593,Standard,5,2728177,Pickup,12,1,No,19214,0,Driver,1,65.67,65.67,MEDIUM
100183,19,Female,28845474,Premium,9,14631290,Sedan,15,0,Yes,44532,1,Office Worker,1,75.0,75.0,HIGH
100184,59,Male,28924482,Standard,7,8816186,Sedan,4,2,No,29531,1,Driver,1,90.0,90.0,HIGH
100185,62,Female,196004612,Standard,4,14289377,Hatchback,12,0,Yes,11013,1,Business Owner,1,71.67,71.67,HIGH
100186,70,Male,248051604,Standard,6,13543142,SUV,9,1,Yes,38812,1,Engineer,1,93.0,93.0,HIGH
100187,23,Male,142402748,Standard,10,12726458,SUV,1,0,Yes,8018,3,Driver,1,46.33,46.33,MEDIUM
100188,45,Male,129953993,Premium,7,10440841,SUV,2,0,No,21617,2,Student,1,74.67,74.67,HIGH
100189,45,Female,91974034,Premium,10,3904814,Pickup,11,2,No,30868,0,Driver,1,82.33,82.33,HIGH
100190,61,Female,104243800,Basic,9,1936184,Pickup,15,1,Yes,43235,1,Office Worker,1,84.33,84.33,HIGH
100191,61,Male,54327427,Standard,4,12748102,Hatchback,1,1,No,45774,0,Engineer,0,6.0,6.0,LOW
100192,37,Male,82218588,Premium,10,3706171,SUV,0,3,Yes,34090,3,Engineer,1,83.33,83.33,HIGH
100193,47,Female,53905854,Premium,3,11128494,Hatchback,6,1,No,39809,0,Student,1,45.0,45.0,MEDIUM
100194,28,Female,220436562,Standard,8,5141747,SUV,13,1,Yes,4889,1,Engineer,1,85.67,85.67,HIGH
100195,45,Male,45589226,Standard,1,5857531,Sedan,2,0,Yes,27060,2,Business Owner,1,79.67,79.67,HIGH
100196,42,Male,244581889,Basic,9,11435379,Motorcycle,6,2,Yes,13091,0,Engineer,1,93.67,93.67,HIGH
100197,56,Female,110456969,Premium,1,9073934,Motorcycle,11,3,No,49283,1,Teacher,1,85.33,85.33,HIGH
100198,50,Female,82705020,Basic,2,6199895,SUV,6,1,No,22039,0,Student,1,71.0,71.0,HIGH
100199,18,Female,86119402,Standard,8,4443737,Hatchback,7,4,No,46289,7,Engineer,1,89.67,89.67,HIGH
100200,44,Female,95180504,Basic,9,1722300,Pickup,0,0,Yes,6718,0,Driver,1,71.0,71.0,HIGH
100201,69,Female,202706259,Basic,7,10957081,SUV,4,0,No,24919,0,Office Worker,1,33.67,33.67,MEDIUM
100202,30,Male,54998127,Standard,3,3135021,SUV,9,1,No,45016,1,Teacher,1,70.33,70.33,HIGH
100203,58,Female,172540178,Premium,7,8538009,Pickup,8,1,Yes,12698,1,Teacher,1,83.33,83.33,HIGH
100204,20,Male,42728138,Basic,6,5692489,SUV,11,3,Yes,37398,0,Driver,1,89.67,89.67,HIGH
100205,56,Female,151294710,Standard,2,14494516,Sedan,10,0,Yes,24444,0,Teacher,0,5.67,5.67,LOW
100206,23,Male,143873796,Basic,3,4246797,Pickup,6,2,No,20375,1,Business Owner,1,88.67,88.67,HIGH
100207,25,Female,59671806,Basic,10,13831489,Sedan,0,0,No,40358,0,Business Owner,0,6.0,6.0,LOW
100208,44,Female,128662906,Standard,10,6070447,Motorcycle,7,0,No,9866,1,Office Worker,0,64.33,64.33,MEDIUM
100209,26,Male,161516484,Standard,5,13911308,Pickup,2,3,Yes,31544,0,Office Worker,0,7.33,7.33,LOW
100210,54,Male,48877268,Basic,10,4487258,Pickup,12,2,No,44990,1,Office Worker,1,86.0,86.0,HIGH
100211,50,Female,212337483,Basic,4,11604488,Hatchback,3,4,No,7921,0,Office Worker,1,85.67,85.67,HIGH
100212,68,Female,130265027,Basic,2,14106758,Hatchback,3,2,Yes,49113,1,Engineer,1,88.67,88.67,HIGH
100213,59,Female,233500469,Basic,4,6268681,Pickup,14,1,No,44522,0,Teacher,1,86.67,86.67,HIGH
100214,61,Female,126648553,Premium,8,14325559,Motorcycle,9,2,No,35759,2,Driver,1,82.33,82.33,HIGH
100215,41,Female,143541779,Premium,5,7275080,SUV,13,2,Yes,25665,2,Business Owner,1,76.67,76.67,HIGH
100216,32,Male,35444453,Basic,5,7606870,Hatchback,11,2,No,27942,2,Engineer,1,94.0,94.0,HIGH
100217,49,Male,156676056,Standard,10,4610566,Motorcycle,7,1,No,9249,1,Office Worker,1,76.0,76.0,HIGH
100218,49,Female,42196045,Premium,3,12327727,Motorcycle,0,1,No,3793,2,Student,1,77.67,77.67,HIGH
100219,41,Male,75254111,Basic,8,11741320,Hatchback,7,2,No,30679,3,Student,1,75.33,75.33,HIGH
100220,58,Male,99149770,Premium,6,1768026,SUV,8,1,Yes,16993,0,Driver,1,83.33,83.33,HIGH
100221,69,Male,112324860,Premium,2,5926423,Hatchback,8,4,No,36754,1,Business Owner,1,87.0,87.0,HIGH
100222,66,Female,238830545,Basic,2,7307676,Motorcycle,4,2,No,28533,2,Business Owner,1,74.33,74.33,HIGH
100223,66,Male,239453402,Basic,9,14907024,Sedan,3,2,No,6595,0,Driver,0,6.67,6.67,LOW
100224,69,Female,244650741,Premium,7,8818835,Hatchback,3,1,No,5256,1,Office Worker,0,5.33,5.33,LOW
100225,29,Male,229282743,Standard,10,1395462,Motorcycle,8,1,No,15101,1,Office Worker,1,85.67,85.67,HIGH
100226,56,Female,43004438,Basic,9,10719338,Hatchback,14,1,Yes,49490,0,Teacher,1,93.33,93.33,HIGH
100227,19,Male,239950986,Basic,6,11612711,Motorcycle,7,1,Yes,32408,1,Business Owner,1,92.33,92.33,HIGH
100228,20,Female,206922068,Standard,5,10767686,SUV,9,3,Yes,33946,1,Business Owner,1,83.33,83.33,HIGH
100229,66,Female,53533675,Standard,1,1148306,Motorcycle,14,0,Yes,46182,3,Business Owner,1,80.67,80.67,HIGH
100230,54,Male,26543812,Standard,6,10271230,Pickup,9,2,Yes,39944,0,Office Worker,1,93.0,93.0,HIGH
100231,66,Female,39534056,Premium,6,4785811,Sedan,11,0,No,10961,1,Student,1,84.67,84.67,HIGH
100232,34,Female,107707002,Basic,3,5636971,Motorcycle,6,0,No,18416,3,Driver,0,7.33,7.33,LOW
100233,66,Female,66385470,Standard,3,4006374,Hatchback,15,0,No,41022,1,Driver,0,71.33,71.33,HIGH
